Stop Name,Borough,GTFS Latitude,GTFS Longitude,Zip Code,Elevator,Dist to Elev
Grand Central - 42 St,M,40.751776,-73.976848,10017,True,0.0
33 St,M,40.746081,-73.982076,10018,False,0.2
28 St,M,40.74307,-73.984264,10001,True,0.0
23 St,M,40.739864000000004,-73.986599,10011,False,0.0
14 St - Union Sq,M,40.734673,-73.989951,10003,True,0.0
Astor Pl,M,40.730053999999996,-73.99107,10003,False,0.2
Bleecker St,M,40.725915,-73.994659,10012,True,0.0
Spring St,M,40.722301,-73.997141,10012,False,0.3
Canal St,M,40.718803,-74.00019300000002,10013,True,0.0
Brooklyn Bridge - City Hall,M,40.713065,-74.004131,10013,True,0.0
Fulton St,M,40.710368,-74.009509,10038,True,0.0
Wall St,M,40.707557,-74.011862,10038,False,0.2
Bowling Green,M,40.704817,-74.014065,10004,True,0.0
Harlem - 148 St,M,40.823879999999996,-73.93647,10039,False,0.9
145 St,M,40.820421,-73.936245,10031,False,0.9
135 St,M,40.814229,-73.94077,10030,False,0.5
125 St,M,40.807753999999996,-73.945495,10027,True,0.0
116 St,M,40.802098,-73.949625,10035,False,0.5
Central Park North (110 St),M,40.799075,-73.95182199999998,10026,False,0.7
Grand Central - 42 St,M,40.751431,-73.97604100000002,10017,True,0.0
5 Av,M,40.753821,-73.98196300000002,10022,False,0.2
Times Sq - 42 St,M,40.755477,-73.987691,10018,True,0.0
Times Sq - 42 St,M,40.755983,-73.98622900000002,10018,True,0.0
Grand Central - 42 St,M,40.752769,-73.979189,10017,True,0.0
34 St - 11 Av,M,40.755882,-74.00191,10001,False,0.5
96 St,M,40.784318,-73.947152,10029,True,0.0
86 St,M,40.777891,-73.951787,10028,True,0.0
72 St,M,40.768799,-73.958424,10021,True,0.0
