,station,line,entries,exits
246,B'WAY-LAFAYETTE,BDFQ6,1965804.0,2545027.0
247,GRAND ST,BD,2254836.0,1661100.0
248,2 AV,F,1322598.0,1307320.0
249,EAST BROADWAY,F,1027166.0,546083.0
250,YORK ST,F,971626.0,492735.0
251,BERGEN ST,FG,872500.0,525219.0
252,CARROLL ST,FG,899870.0,415895.0
253,SMITH-9 ST,FG,348105.0,429540.0
254,4 AV-9 ST,DFGMNR,282475.0,399991.0
255,7 AV,FG,906829.0,515068.0
256,15 ST-PROSPECT,FG,488793.0,299720.0
257,FT HAMILTON PKY,FG,454232.0,160274.0
258,CHURCH AV,FG,738738.0,502886.0
259,DITMAS AV,F,296802.0,165943.0
260,18 AV,F,270723.0,203902.0
261,AVENUE I,F,148220.0,69311.0
262,BAY PKWY,F,98110.0,35087.0
263,AVENUE N,F,220315.0,83862.0
264,AVENUE P,F,185387.0,76916.0
265,KINGS HWY,F,278814.0,276643.0
266,AVENUE U,F,141791.0,66240.0
267,AVENUE X,F,202769.0,115018.0
268,NEPTUNE AV,F,108454.0,43976.0
269,57 ST,F,1197532.0,1187798.0
270,LEXINGTON AV/63,F,1660074.0,1779872.0
271,ROOSEVELT ISLND,F,574053.0,542819.0
272,21 ST-QNSBRIDGE,F,874733.0,597376.0
273,JAMAICA VAN WK,E,330887.0,369488.0
274,SUTPHIN-ARCHER,EJZ,1812274.0,1592283.0
275,JAMAICA CENTER,EJZ,2508473.0,2295296.0
276,72 ST-2 AVE,Q,2318026.0,2033198.0
277,86 ST-2 AVE,Q,2001172.0,1318067.0
278,96 ST-2 AVE,Q,1490805.0,1081680.0
279,ORCHARD BEACH,6,89.0,29.0
280,NEWARK HW BMEBE,1,469042.0,552805.0
281,HARRISON,1,708473.0,728185.0
282,JOURNAL SQUARE,1,2925275.0,3079113.0
283,GROVE STREET,1,1832325.0,1868283.0
284,EXCHANGE PLACE,1,1179018.0,1229020.0
285,PAVONIA/NEWPORT,1,1359034.0,1753135.0
286,CITY / BUS,1,1367040.0,1424450.0
287,CHRISTOPHER ST,1,1260850.0,1188734.0
288,9TH STREET,1,1213504.0,1258281.0
289,14TH STREET,1,711724.0,741391.0
290,TWENTY THIRD ST,1,979788.0,943648.0
291,THIRTY ST,1,1413883.0,782762.0
292,LACKAWANNA,1,1079120.0,863715.0
293,THIRTY THIRD ST,1,2050069.0,1478896.0
294,NEWARK BM BW,1,1248113.0,125482.0
295,NEWARK C,1,560903.0,97592.0
296,NEWARK HM HE,1,52873.0,1691578.0
297,PATH WTC 2,1,336055.0,1149645.0
298,PATH NEW WTC,1,6650938.0,5364807.0
299,SOUTH FERRY,1RW,2152783.0,2332062.0
300,RECTOR ST,1,690722.0,522547.0
301,WTC-CORTLANDT,1,1019890.0,849445.0
302,WALL ST,23,1657675.0,1583744.0
303,PARK PLACE,23ACE,215548.0,189917.0
304,CHAMBERS ST,123,1531403.0,1382674.0
305,FRANKLIN ST,1,416750.0,239975.0
306,CANAL ST,1,1066345.0,633103.0
307,HOUSTON ST,1,1076748.0,731108.0
308,14 ST,123FLM,2041321.0,1155152.0
309,18 ST,1,858693.0,726549.0
310,23 ST,1,1124293.0,919970.0
311,28 ST,1,1096434.0,744389.0
312,34 ST-PENN STA,123,2558351.0,2606418.0
313,34 ST-PENN STA,123ACE,3720489.0,3265101.0
314,TIMES SQ-42 ST,1237ACENQRSW,4860130.0,4968938.0
315,TIMES SQ-42 ST,1237ACENQRS,1620343.0,683522.0
316,50 ST,1,1907027.0,1822238.0
317,59 ST COLUMBUS,1ABCD,1127159.0,891989.0
318,66 ST-LINCOLN,1,1720464.0,1597896.0
319,72 ST,123,3191985.0,3213341.0
320,79 ST,1,1101286.0,553943.0
321,86 ST,1,1321782.0,1338229.0
322,96 ST,123,2742190.0,2739598.0
323,103 ST,1,913341.0,471469.0
324,CATHEDRAL PKWY,1,923767.0,490639.0
325,116 ST-COLUMBIA,1,1226404.0,613017.0
326,125 ST,1,606511.0,631690.0
327,137 ST CITY COL,1,983732.0,905556.0
328,145 ST,1,714215.0,597335.0
329,157 ST,1,912237.0,659812.0
330,181 ST,1,844548.0,898636.0
331,191 ST,1,569879.0,658571.0
332,DYCKMAN ST,1,510613.0,280985.0
333,207 ST,1,591311.0,406355.0
334,215 ST,1,144667.0,60977.0
335,MARBLE HILL-225,1,384927.0,158269.0
336,231 ST,1,709458.0,112012.0
337,238 ST,1,318321.0,37021.0
338,V.CORTLANDT PK,1,557688.0,245224.0
339,BOWLING GREEN,45,2608527.0,1941360.0
340,WALL ST,45,1773744.0,1094335.0
341,BROOKLYN BRIDGE,456JZ,1419666.0,1177326.0
342,SPRING ST,6,861173.0,951645.0
343,BLEECKER ST,6DF,1296199.0,474633.0
344,ASTOR PL,6,1292598.0,1404584.0
345,14 ST-UNION SQ,456LNQRW,2413046.0,2437497.0
346,23 ST,6,2480530.0,2077877.0
347,28 ST,6,1448629.0,1366013.0
348,33 ST,6,2068823.0,1644005.0
349,GRD CNTRL-42 ST,4567S,11483308.0,10992114.0
350,51 ST,6,2306467.0,2370684.0
351,59 ST,456NQRW,3116167.0,3228247.0
352,68ST-HUNTER CO,6,1806302.0,1512070.0
353,77 ST,6,1915196.0,1897290.0
354,86 ST,456,3296606.0,3323212.0
355,96 ST,6,1287936.0,428328.0
356,103 ST,6,985590.0,910889.0
357,110 ST,6,803628.0,723372.0
358,116 ST,6,1463808.0,925400.0
359,125 ST,456,2552794.0,1894990.0
360,138/GRAND CONC,45,282006.0,237251.0
361,149/GRAND CONC,245,993833.0,615813.0
362,161/YANKEE STAD,4BD,1026677.0,507958.0
363,167 ST,4,655045.0,677895.0
364,170 ST,4,617289.0,472077.0
365,MT EDEN AV,4,379447.0,1054989.0
366,176 ST,4,426238.0,962920.0
367,BURNSIDE AV,4,773100.0,429032.0
368,183 ST,4,436183.0,253069.0
369,FORDHAM RD,4,953509.0,191495.0
370,KINGSBRIDGE RD,4,689340.0,402814.0
371,BEDFORD PK BLVD,4,705310.0,701099.0
372,MOSHOLU PKWY,4,608563.0,208707.0
373,WOODLAWN,4,514310.0,126157.0
374,CENTRAL PK N110,23,645647.0,657171.0
375,116 ST,23,1178203.0,627438.0
376,125 ST,23,1153874.0,488871.0
377,135 ST,23,1053543.0,359176.0
378,145 ST,3,254150.0,19186.0
379,HARLEM 148 ST,3,284777.0,282950.0
380,3 AV-149 ST,25,1625299.0,716302.0
381,JACKSON AV,25,389338.0,1247065.0
382,PROSPECT AV,25,524002.0,188932.0
383,INTERVALE AV,25,238237.0,255513.0
384,SIMPSON ST,25,650258.0,209718.0
385,FREEMAN ST,25,329640.0,301406.0
386,174 ST,25,498765.0,483185.0
387,WEST FARMS SQ,25,514815.0,357979.0
388,E 180 ST,25,554303.0,504005.0
389,BRONX PARK EAST,25,189278.0,80211.0
390,PELHAM PKWY,25,644482.0,714624.0
