Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes_spaced,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label
325,325,135,IRT,Broadway - 7Av,Canal St,M,1,1,Subway,40.722854,-74.006277,Uptown & The Bronx,Downtown
308,308,118,IRT,Broadway - 7Av,Cathedral Pkwy,M,1,1,Subway,40.803967,-73.966847,Uptown & The Bronx,Downtown
155,155,A17,IND,8th Av - Fulton St,Cathedral Pkwy,M,B C,BC,Subway,40.800603,-73.958161,Uptown & The Bronx,Downtown & Brooklyn
441,441,227,IRT,Lenox - White Plains Rd,CENTRAL PK N110,M,2 3,23,Subway,40.799075,-73.951822,Uptown & The Bronx,Downtown & Brooklyn
105,622,M21,BMT,Jamaica,Chambers St,M,J Z,JZ,Subway,40.713243,-74.003401,Brooklyn,Broad St
170,624,A36,IND,8th Av - Fulton St,Chambers St,M,A C,AC,Subway,40.714111,-74.008585,Uptown,Downtown & Brooklyn
323,323,133,IRT,Broadway - 7Av,Christopher St,M,1,1,Subway,40.733422,-74.002906,Uptown & The Bronx,Downtown
20,20,R24,BMT,Broadway,City Hall,M,R W,RW,Subway,40.713282,-74.006978,Uptown & Queens,Downtown & Brooklyn
233,625,F15,IND,6th Av - Culver,Delancey/essex,M,F,F,Subway,40.718611,-73.988114,Uptown & Queens,Downtown & Brooklyn
144,144,A03,IND,8th Av - Fulton St,Dyckman St,M,A,A,Subway,40.865491,-73.927271,207 St,Downtown & Brooklyn
234,234,F16,IND,6th Av - Culver,East Broadway,M,F,F,Subway,40.713715,-73.990173,Uptown & Queens,Brooklyn
102,625,M18,BMT,Jamaica,Delancey/essex,M,J M Z,JMZ,Subway,40.718315,-73.987437,Brooklyn,Broad St (JZ) - Uptown (M)
326,326,136,IRT,Broadway - 7Av,Franklin St,M,1,1,Subway,40.719318,-74.006886,Uptown & The Bronx,Downtown
172,628,A38,IND,8th Av - Fulton St,Fulton St,M,A C,AC,Subway,40.710197,-74.007691,Uptown,Brooklyn
332,628,229,IRT,Clark St,Fulton St,M,2 3,23,Subway,40.709416,-74.006571,Uptown & The Bronx,Downtown & Brooklyn
412,628,418,IRT,Lexington Av,Fulton St,M,4 5,45,Subway,40.710368,-74.009509,Uptown & The Bronx,Downtown & Brooklyn
402,610,631,IRT,Lexington Av,GRD CNTRL-42 ST,M,4 5 6,456,Subway,40.751776,-73.976848,Uptown & The Bronx,Downtown & Brooklyn
465,610,723,IRT,Flushing,GRD CNTRL-42 ST,M,7,7,Subway,40.751431,-73.976041,Queens,34 St - Hudson Yards
469,610,901,IRT,Lexington - Shuttle,GRD CNTRL-42 ST,M,S,S,Subway,40.752769,-73.979189,Times Sq,
231,231,D22,IND,6th Av - Culver,Grand St,M,B D,BD,Subway,40.718267,-73.993753,Uptown & The Bronx,Brooklyn
436,436,301,IRT,Lenox - White Plains Rd,Harlem 148 St,M,3,3,Subway,40.82388,-73.93647,,Downtown & Brooklyn
324,324,134,IRT,Broadway - 7Av,Houston St,M,1,1,Subway,40.728251,-74.005367,Uptown & The Bronx,Downtown
7,613,R11,BMT,Astoria,59 St,M,N  RW,NRW,Subway,40.76266,-73.967258,Queens,Downtown & Brooklyn
296,296,106,IRT,Broadway - 7Av,MARBLE HILL-225,M,1,1,Elevated,40.874561,-73.909831,242 St,Downtown
331,624,228,IRT,Clark St,Park Place,M,2 3,23,Subway,40.713051,-74.008811,Uptown & The Bronx,Downtown & Brooklyn
17,17,R22,BMT,Broadway - Brighton,Prince St,M,R W,RW,Subway,40.724329,-73.997702,Uptown & Queens,Downtown & Brooklyn
22,22,R26,BMT,Broadway,Rector St,M,R W,RW,Subway,40.70722,-74.013342,Uptown & Queens,Downtown & Brooklyn
329,329,139,IRT,Broadway - 7Av,Rector St,M,1,1,Subway,40.707513,-74.013783,Uptown & The Bronx,Downtown
168,168,A33,IND,8th Av - Fulton St,Spring St,M,C E,CE,Subway,40.726227,-74.003739,Uptown - Queens,Downtown & Brooklyn
409,409,638,IRT,Lexington Av,Spring St,M,6,6,Subway,40.722301,-73.997141,Uptown & The Bronx,Downtown
11,611,R16,BMT,Broadway - Brighton,TIMES SQ-42 ST,M,N Q R W,NQRW,Subway,40.754672,-73.986754,Uptown & Queens,Downtown & Brooklyn
317,611,127,IRT,Broadway - 7Av,TIMES SQ-42 ST,M,1 2 3,123,Subway,40.75529,-73.987495,Uptown & The Bronx,Downtown & Brooklyn
467,611,725,IRT,Flushing,TIMES SQ-42 ST,M,7,7,Subway,40.755477,-73.987691,Queens,34 St - Hudson Yards
468,611,902,IRT,Lexington - Shuttle,TIMES SQ-42 ST,M,S,S,Subway,40.755983,-73.986229,,Grand Central
117,602,L03,BMT,Canarsie,14 ST-UNION SQ,M,LNQR456W,LNQR456W,Subway,40.734789,-73.99073,8 Av,Brooklyn
333,333,230,IRT,Clark St,Wall St,M,2 3,23,Subway,40.706821,-74.0091,Uptown & The Bronx,Brooklyn
413,413,419,IRT,Lexington Av,Wall St,M,4 5,45,Subway,40.707557,-74.011862,Uptown & The Bronx,Downtown & Brooklyn
23,635,R27,BMT,Broadway,Whitehall S-fry,M,R 1W,R1W,Subway,40.703087,-74.012994,Uptown & Queens,Brooklyn
